"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.15025,-8.577
"T2",41.15925,-8.607
"T3",41.15025,-8.577
"T4",41.14125,-8.619
"T5",41.15925,-8.637
"T6",41.15925,-8.637
"T7",41.15025,-8.577
"T8",41.18175,-8.601
"T9",41.15925,-8.607
"T10",41.15925,-8.607
"T11",41.15925,-8.607
"T12",41.15025,-8.577
"T13",41.15025,-8.577
"T14",41.23575,-8.667
"T15",41.15925,-8.607
"T16",41.15925,-8.607
"T17",41.15925,-8.637
"T18",41.15925,-8.637
"T19",41.15025,-8.577
"T20",41.15925,-8.637
"T21",41.15025,-8.577
"T22",41.14125,-8.619
"T23",41.15925,-8.637
"T24",41.15025,-8.577
"T25",41.15925,-8.637
"T26",41.15925,-8.607
"T27",41.15025,-8.577
"T28",41.15025,-8.577
"T29",41.15925,-8.607
"T30",41.15025,-8.577
"T31",41.15025,-8.577
"T32",41.15925,-8.607
"T33",41.15925,-8.637
"T34",41.16825,-8.565
"T35",41.15925,-8.607
"T36",41.15925,-8.607
"T37",41.17275,-8.691
"T38",41.15925,-8.637
"T39",41.15025,-8.577
"T40",41.14125,-8.619
"T41",41.18175,-8.601
"T42",41.18175,-8.601
"T43",41.15925,-8.607
"T44",41.18175,-8.601
"T45",41.15925,-8.607
"T46",41.15025,-8.577
"T47",41.15925,-8.637
"T48",41.15925,-8.637
"T49",41.16825,-8.565
"T50",41.15925,-8.637
"T51",41.14125,-8.619
"T52",41.15925,-8.607
"T53",41.15925,-8.607
"T54",41.18175,-8.601
"T55",41.15925,-8.607
"T56",41.15925,-8.607
"T57",41.18175,-8.601
"T58",41.15925,-8.637
"T59",41.15925,-8.637
"T60",41.15925,-8.607
"T61",41.15025,-8.577
"T62",41.15025,-8.577
"T63",41.15925,-8.607
"T64",41.18175,-8.601
"T65",41.14125,-8.619
"T66",41.18175,-8.601
"T67",41.15925,-8.607
"T68",41.15925,-8.637
"T69",41.15925,-8.607
"T70",41.15925,-8.637
"T71",41.15925,-8.607
"T72",41.15925,-8.607
"T73",41.15025,-8.577
"T74",41.16825,-8.565
"T75",41.15925,-8.637
"T76",41.15925,-8.637
"T77",41.15925,-8.607
"T78",41.15925,-8.637
"T79",41.18175,-8.601
"T80",41.18175,-8.643
"T81",41.15925,-8.637
"T82",41.15925,-8.637
"T83",41.15925,-8.637
"T84",41.18175,-8.601
"T85",41.15925,-8.637
"T86",41.15025,-8.577
"T87",41.15925,-8.607
"T88",41.15025,-8.577
"T90",41.15925,-8.637
"T91",41.15925,-8.637
"T92",41.23575,-8.667
"T93",41.15925,-8.637
"T94",41.15925,-8.637
"T95",41.15925,-8.607
"T96",41.17275,-8.667
"T98",41.15925,-8.637
"T99",41.15925,-8.607
"T100",41.18175,-8.643
"T101",41.15925,-8.607
"T102",41.15925,-8.607
"T103",41.15925,-8.637
"T104",41.15925,-8.607
"T107",41.15025,-8.577
"T109",41.15925,-8.607
"T110",41.15925,-8.637
"T111",41.15475,-8.673
"T112",41.15925,-8.607
"T113",41.15925,-8.607
"T114",41.18175,-8.601
"T115",41.14125,-8.619
"T116",41.15925,-8.607
"T117",41.15925,-8.607
"T118",41.18175,-8.601
"T119",41.18175,-8.601
"T120",41.18175,-8.601
"T121",41.14125,-8.619
"T122",41.15925,-8.637
"T123",41.15475,-8.673
"T124",41.15925,-8.637
"T125",41.15925,-8.637
"T126",41.15925,-8.637
"T127",41.15925,-8.637
"T128",41.15925,-8.607
"T129",41.15925,-8.637
"T130",41.15925,-8.637
"T131",41.15925,-8.607
"T132",41.15925,-8.607
"T133",41.15925,-8.637
"T134",41.17275,-8.667
"T135",41.15925,-8.607
"T136",41.15925,-8.607
"T137",41.15925,-8.637
"T138",41.15925,-8.607
"T139",41.18175,-8.601
"T140",41.18175,-8.601
"T141",41.15925,-8.607
"T142",41.15925,-8.607
"T143",41.15925,-8.637
"T144",41.15925,-8.607
"T145",41.15025,-8.577
"T146",41.15925,-8.637
"T147",41.15925,-8.637
"T148",41.15925,-8.607
"T149",41.15925,-8.607
"T151",41.15925,-8.637
"T152",41.15925,-8.607
"T153",41.15925,-8.637
"T154",41.15925,-8.607
"T155",41.18175,-8.643
"T156",41.15925,-8.637
"T157",41.16825,-8.565
"T158",41.15925,-8.607
"T159",41.15925,-8.637
"T160",41.18175,-8.643
"T161",41.15025,-8.577
"T162",41.15925,-8.637
"T163",41.15925,-8.637
"T164",41.15925,-8.637
"T166",41.15925,-8.637
"T167",41.15025,-8.577
"T168",41.15925,-8.607
"T169",41.15925,-8.607
"T170",41.15925,-8.637
"T171",41.15925,-8.637
"T172",41.15925,-8.637
"T173",41.18175,-8.643
"T174",41.18175,-8.601
"T175",41.15925,-8.637
"T176",41.15925,-8.607
"T177",41.15925,-8.637
"T178",41.18175,-8.643
"T179",41.15025,-8.577
"T180",41.15925,-8.607
"T181",41.15925,-8.607
"T182",41.15925,-8.607
"T183",41.18175,-8.601
"T184",41.15925,-8.637
"T185",41.15475,-8.673
"T186",41.15925,-8.637
"T187",41.15025,-8.577
"T188",41.15025,-8.577
"T189",41.15925,-8.607
"T190",41.15925,-8.637
"T191",41.15925,-8.607
"T192",41.15925,-8.637
"T193",41.15925,-8.607
"T194",41.15925,-8.607
"T195",41.15925,-8.607
"T196",41.15925,-8.607
"T197",41.15925,-8.637
"T198",41.15925,-8.637
"T199",41.15025,-8.577
"T200",41.15925,-8.637
"T201",41.15925,-8.637
"T202",41.15925,-8.607
"T203",41.15925,-8.607
"T204",41.15925,-8.607
"T205",41.15925,-8.607
"T206",41.15925,-8.607
"T207",41.15925,-8.607
"T208",41.18175,-8.601
"T209",41.15925,-8.637
"T210",41.15925,-8.637
"T211",41.15925,-8.607
"T212",41.15025,-8.577
"T213",41.15925,-8.607
"T214",41.15925,-8.637
"T215",41.15925,-8.607
"T216",41.15025,-8.577
"T217",41.15925,-8.637
"T218",41.15925,-8.607
"T219",41.15925,-8.637
"T220",41.15925,-8.607
"T221",41.15925,-8.637
"T222",41.15925,-8.607
"T223",41.15925,-8.637
"T224",41.18175,-8.601
"T225",41.15925,-8.637
"T226",41.15925,-8.637
"T227",41.15925,-8.607
"T228",41.15025,-8.577
"T229",41.23575,-8.667
"T230",41.15925,-8.637
"T231",41.15925,-8.607
"T232",41.15925,-8.607
"T233",41.15925,-8.607
"T234",41.15925,-8.637
"T235",41.15475,-8.673
"T236",41.15925,-8.607
"T237",41.15925,-8.607
"T238",41.15925,-8.607
"T239",41.15925,-8.637
"T240",41.15475,-8.673
"T241",41.15925,-8.607
"T242",41.15925,-8.607
"T243",41.15925,-8.637
"T244",41.17275,-8.667
"T245",41.15925,-8.607
"T246",41.15475,-8.673
"T247",41.17275,-8.667
"T248",41.15925,-8.637
"T249",41.15925,-8.637
"T250",41.15025,-8.577
"T251",41.15925,-8.607
"T252",41.15925,-8.637
"T253",41.16825,-8.565
"T254",41.15925,-8.607
"T255",41.14125,-8.619
"T256",41.15925,-8.607
"T257",41.15925,-8.637
"T258",41.15925,-8.607
"T259",41.15925,-8.607
"T260",41.15925,-8.607
"T261",41.15925,-8.607
"T262",41.18175,-8.601
"T263",41.15925,-8.607
"T264",41.15925,-8.607
"T265",41.15475,-8.673
"T266",41.15925,-8.607
"T267",41.15925,-8.607
"T268",41.15925,-8.637
"T269",41.14125,-8.619
"T270",41.15925,-8.637
"T271",41.15925,-8.607
"T272",41.17275,-8.667
"T273",41.15925,-8.607
"T274",41.15925,-8.637
"T275",41.15925,-8.637
"T276",41.18175,-8.643
"T277",41.15475,-8.673
"T278",41.15925,-8.637
"T279",41.15925,-8.607
"T280",41.15925,-8.607
"T281",41.15925,-8.607
"T282",41.15925,-8.607
"T283",41.15925,-8.607
"T284",41.15925,-8.607
"T285",41.15925,-8.607
"T286",41.15925,-8.607
"T287",41.17275,-8.667
"T288",41.15025,-8.577
"T289",41.15925,-8.637
"T290",41.15925,-8.607
"T291",41.15925,-8.607
"T292",41.18175,-8.601
"T293",41.15925,-8.607
"T294",41.15025,-8.577
"T295",41.15925,-8.607
"T296",41.15925,-8.637
"T297",41.15925,-8.607
"T298",41.15925,-8.637
"T299",41.23575,-8.667
"T300",41.15925,-8.607
"T301",41.23575,-8.667
"T302",41.15925,-8.607
"T303",41.15925,-8.607
"T304",41.15925,-8.637
"T305",41.15925,-8.637
"T306",41.15925,-8.637
"T307",41.15925,-8.607
"T308",41.16825,-8.565
"T309",41.15025,-8.577
"T310",41.15475,-8.673
"T311",41.15025,-8.577
"T312",41.15925,-8.637
"T313",41.15475,-8.673
"T314",41.15925,-8.607
"T315",41.15925,-8.637
"T316",41.15025,-8.577
"T317",41.14125,-8.619
"T318",41.15475,-8.673
"T319",41.17275,-8.667
"T320",41.15025,-8.577
"T321",41.15925,-8.607
"T322",41.18175,-8.601
"T323",41.15025,-8.577
"T324",41.15925,-8.637
"T325",41.15925,-8.637
"T326",41.16825,-8.565
"T327",41.18175,-8.601
